i,time (ns)
1,293961
2,207850
3,166869
4,166887
5,29121794
6,28966981
7,28688872
8,13334982
9,12255917
10,36035606
11,31869882
12,31957844
13,36012033
14,31900400
15,31970603
16,36033199
17,31852531
18,32050677
19,35923811
20,31931252
21,31974141
22,35956663
23,31873475
24,32009825
25,35980774
26,31905956
27,31967455
28,35990885
29,31903901
30,39663003
31,35906682
32,31943400
33,24283019
34,36016477
35,31923215
36,31946066
37,36010237
38,31904196
39,32033825
40,35960996
41,31912696
42,31919697
43,36007422
44,31953696
45,31909771
46,32053733
47,35896330
48,31923437
49,32070195
50,35869108
51,31931215
52,32060733
53,35924792
54,38546678
55,33050595
56,35903552
57,25188531
58,35100448
59,32032844
60,31869567
61,36104291
62,31781235
63,32009289
64,32035677
65,35840886
66,32018307
67,32036492
68,35911867
69,31966308
70,31964752
71,35827293
72,31984937
73,32069529
74,35867775
75,31952770
76,32011455
77,35840071
78,32019121
79,31951900
80,35985644
81,31922715
82,32086084
83,35863090
84,31950993
85,32022789
86,35865904
87,31988882
88,32023881
89,35858608
90,31980326
91,32020585
92,35873294
93,31975677
94,32011770
95,35876145
96,31971271
97,32033900
98,35885497
99,31979844
100,39707965
101,35743091
102,30605985
103,25767767
104,35887997
105,32014325
106,31994603
107,35850441
108,31982585
109,32088918
110,35813239
111,31963881
112,32020900
113,35862164
114,32009011
115,31985455
116,35953737
117,31886197
118,32111213
119,35924460
120,31936789
121,31975326
122,35983552
123,31898308
124,39582948
125,35939960
126,31894882
127,24409629
128,35954922
129,31912419
130,32030270
131,35929367
132,31859679
133,32070548
134,35975162
135,31886252
136,31998103
137,35990033
138,31871919
139,32098288
140,35922829
141,31846161
142,32009807
143,36032681
144,31828790
145,32036974
146,35981607
147,31869271
148,39628595
149,35949866
150,31879604
151,24365667
152,32027732
153,35871219
154,31988400
155,32033769
156,35881182
157,32014363
158,32013603
159,35837942
160,32001251
161,32047177
162,35889460
163,31908104
164,32014251
165,35934756
166,31886475
167,32062640
168,35949719
169,31920826
170,31991956
171,35950071
172,37702315
173,33790496
174,35887478
175,31939771
176,24435982
177,35943256
178,31905696
179,32006159
180,35917756
181,31954678
182,32018770
183,35908497
184,31920826
185,32006900
186,35941126
187,32030511
188,31982548
189,35950145
190,31911363
191,32008622
192,35857534
193,32050732
194,31919123
195,35991237
196,32949521
197,36648695
198,35929479
199,29600882
200,28617595
201,36022662
202,31955845
203,31997493
204,35934681
205,31992862
206,31947660
207,35886386
208,31923715
209,32020566
210,35988088
211,31860105
212,31982955
213,35962663
214,31922623
215,32038066
216,35901978
217,31940141
218,32039807
219,35880848
220,31971418
221,39579466
222,35877034
223,31580589
224,24738886
225,35957737
226,31909808
227,32018640
228,35999274
229,31855789
230,32106770
231,35908978
232,31861031
233,32224898
234,35846627
235,32037233
236,32013122
237,35942904
238,31890085
239,32032900
240,35803776
241,31964400
242,31979251
243,35952700
244,31949529
245,37699445
246,36009070
247,31883938
248,26248004
249,35990478
250,31902475
251,31968789
252,35963755
253,31971288
254,31973214
255,35933663
256,32000604
257,31982641
258,35948182
259,31964956
260,31994585
261,35903941
262,32017844
263,31904160
264,36042607
265,31868290
266,32101603
267,32035215
268,35981589
269,37571427
270,32066899
271,35867646
272,26304262
273,31940659
274,35879497
275,32020103
276,31889549
277,36028125
278,31904141
279,31912160
280,36002866
281,31911901
282,32004584
