i,time (ns)
283,35868997
284,31985177
285,31949678
286,35886368
287,31986400
288,31944826
289,35932108
290,31976604
291,31975178
292,35894942
293,34901746
294,34832209
295,35835646
296,28277245
297,29946379
298,35890645
299,31976474
300,32132399
301,35874200
302,31871438
303,32106010
304,35964274
305,31896659
306,31923030
307,35972997
308,31905252
309,32071826
310,35919589
311,31882142
312,31996066
313,35913219
314,32016807
315,31924290
316,36025144
317,31856975
318,31979363
319,35966089
320,31939400
321,31950400
322,35998700
323,31886641
324,32041881
325,35915015
326,31933400
327,31961733
328,36025440
329,31845383
330,31998881
331,36028329
332,31872383
333,31963715
334,36016273
335,31836771
336,32178750
337,35942571
338,31818456
339,31957123
340,36103292
341,31850975
342,31978381
343,36036718
344,31871400
345,31983733
346,36031662
347,31831809
348,31942419
349,36014589
350,31922901
351,31937771
352,35998626
353,31923734
354,31950993
355,36110810
356,31856253
357,31954271
358,36033625
359,31882863
360,37615001
361,36010996
362,31930012
363,26202448
364,36097070
365,32012956
366,32019826
367,35891959
368,31937382
369,31950974
370,35998070
371,31912715
372,31962252
373,36047866
374,31872938
375,31838216
376,36083125
377,31922327
378,31904326
379,32063103
380,35942256
381,31856253
382,32070566
383,35853664
384,37033450
385,32594339
386,35928664
387,26886406
388,31379701
389,35940922
390,31867716
391,32006437
392,35944571
393,31935234
394,31990419
395,35986070
396,31958493
397,32150066
398,35736517
399,32100695
400,31907641
401,35950515
402,31875160
403,31938548
404,36036736
405,31900474
406,31938067
407,35975367
408,31870456
409,32027159
410,35902108
411,31934345
412,31971734
413,35978996
414,31902901
415,31928697
416,36057218
417,31850271
418,32054992
419,35917460
420,31876086
421,32028010
422,36016810
423,31879364
424,31954974
425,36086254
426,31917086
427,32110639
428,35859424
429,31893475
430,39637984
431,35805887
432,29982620
433,26452612
434,35859293
435,31873883
436,32031362
437,36011126
438,31825642
439,31987900
440,36013700
441,31880141
442,31973900
443,36007978
444,31861790
445,31991326
446,35991793
447,31882809
448,31974400
449,36066421
450,31806883
451,31997863
452,36040032
453,31911937
454,37655057
455,36029348
456,31866401
457,26409243
458,36041366
459,31823568
460,31852308
461,36083069
462,31949012
463,32004733
464,35948608
465,31754494
466,31990400
467,35975145
468,31932233
469,31946493
470,36008070
471,31867197
472,31996511
473,35978552
474,31944437
475,31937160
476,31992826
477,35919942
478,39639874
479,31876105
480,35911682
481,24320723
482,32022437
483,35869201
484,31958549
485,32142250
486,35870183
487,32031622
488,32116140
489,35778424
490,31869809
491,31998937
492,35961330
493,31985252
494,31916679
495,35957275
496,31873920
497,32065807
498,35911737
499,31877401
500,32059344
501,35945441
502,36988932
503,32644598
504,35833275
505,26948498
506,31299609
507,35995589
508,31912141
509,31970437
510,35947812
511,31898178
512,32019455
513,35944052
514,31890660
515,32022344
516,35948886
517,31897919
518,32107973
519,35993293
520,32015918
521,31854290
522,35976404
523,31967159
524,32067918
525,35930479
526,34517268
527,36852711
528,35894516
529,28430356
530,27909249
531,35859442
532,31934938
533,31985734
534,36014589
535,31835401
536,32090659
537,35898774
538,31941271
539,31967123
540,35984293
541,31979493
542,31898549
543,36034755
544,31856216
545,32018715
546,35978848
547,31945586
548,31985474
549,35970663
550,31820791
551,39630503
552,35970570
553,30438043
554,25805359
555,35947311
556,31902697
557,32017325
558,36005256
559,31874401
560,31966085
561,36021440
562,31837235
563,32099806
564,31908289
565,35888238
566,31990955
567,31968678
568,35942182
569,31938012
570,32033289
571,35884108
572,31951715
573,32028548
574,35823424
575,39618374
576,31961215
577,35850979
578,24350631
579,32016548
580,35907163
581,31968845
582,32012863
583,35856571
584,32023622
585,31974122
586,35940441
587,31942142
588,32009993
589,35927553
590,31924363
591,31986677
592,35939200
593,31972103
594,31949455
595,35984867
596,31878771
597,32047344
598,35867941
599,39546263
600,31983437
601,35929386
602,24328353
603,31965567
604,35963441
605,31986918
606,31956845
607,35945127
608,31909697
609,32084659
610,35890090
611,32000603
612,31935253
613,35976015
614,31925678
615,30346377
616,35985089
617,31892734
618,32007345
619,35942867
620,31925012
621,31984289
622,35953775
623,36870655
624,33653350
625,35989811
626,31880049
627,25285289
628,35975330
629,31907678
630,32000807
631,35980292
632,31898234
633,31987900
634,35958219
635,31913197
636,32063751
637,35936256
638,31938178
639,31937141
640,35986478
641,31872104
642,32002622
643,35997182
644,31868290
645,32038937
646,35950682
647,33500554
648,37002099
649,35993107
650,31148407
651,31021964
652,36002070
653,31874882
654,31959345
655,35995681
656,31867402
657,31950734
658,36008404
659,31882012
660,31937289
661,31995770
662,35886386
663,31941641
664,31997512
665,35875924
666,31959012
667,31998641
668,35892534
669,31948937
670,32048789
671,35819664
672,32003511
673,31983400
674,35902719
675,31899290
676,32086788
677,35853146
678,31891068
679,32005049
680,35930608
681,31897567
682,31996030
683,35965867
684,31870724
685,32001893
686,35938239
687,31901673
688,32038763
689,34267239
690,28542634
691,32046467
692,35941443
693,31939468
694,31981468
695,35944424
696,31931376
697,32076559
698,35907999
699,31901710
700,31979801
701,35938054
702,31966857
703,31983061
704,35949943
705,31926950
706,31992227
707,35939853
708,31941733
709,31995361
710,35926248
711,38587165
712,31993898
713,35913064
714,30249699
715,32021934
716,35922545
717,31898067
718,31974917
719,36467902
720,31362135
721,32012657
722,35961266
723,31850124
724,32051805
725,35904064
726,31865364
727,32032157
728,36044708
729,26807282
730,32022601
731,35902230
732,31933604
733,31994805
734,35942341
735,31939603
736,31998176
737,35946156
738,31905512
739,31967862
740,35972914
741,31964344
742,31965733
743,35959545
744,31899086
745,31963345
746,35982988
747,31930475
748,31999510
749,35955656
750,38579185
751,31978918
752,32031639
753,34153070
754,31953214
755,32039602
756,35868861
757,31954881
758,32065342
759,35780567
760,31972140
761,32023991
762,35876565
763,31933271
764,32017287
765,35850584
766,32002251
767,32043102
768,35871511
769,31917161
770,32017455
771,35841290
772,31969048
773,32012084
774,35855696
775,31969808
776,32021122
777,35832104
778,31964437
779,32023066
780,35852752
781,31956382
782,32035788
783,35843715
784,31951438
785,32017881
786,35855603
787,31988011
788,32025807
789,30877816
790,31976919
791,32013325
792,35888602
793,31984585
794,31994955
795,35915824
796,31925975
797,31995734
798,35921770
799,31971457
800,31994382
801,35903585
802,31981087
803,31999975
804,35915418
805,31968846
806,32015752
807,35894752
808,31973457
809,31996160
810,38839718
811,35842771
812,31915162
813,31703482
814,29502553
815,31960309
816,35880474
817,32040196
818,31986105
819,35894715
820,31958883
821,31948161
822,36009564
823,31884311
824,32043919
825,35959750
826,31917088
827,31955754
828,36014657
829,31880497
830,31995717
831,35993861
832,31896738
833,31995328
834,36018472
835,36849675
836,32013938
837,35961140
838,31861312
839,32020198
840,35966769
841,26873099
842,32007624
843,35985176
844,31900941
845,31990253
846,36020324
847,31901978
848,31923292
849,32040456
850,35873568
851,31983216
852,32038864
853,35866975
854,31983939
855,32037826
856,35863161
857,31982940
858,32038587
859,35926475
860,31920626
861,32028864
862,42614538
863,31853294
864,32019605
865,34217220
866,31935774
867,32001624
868,35873717
869,31923460
870,32048234
871,35840848
872,31988958
873,32004124
874,35840496
875,31924700
876,32029920
877,35877198
878,32067641
879,31927478
880,30970094
881,31911701
882,31906997
883,35998159
884,31901516
885,31997310
886,35967159
887,31912387
888,31975256
889,35946772
890,31902257
891,31991903
892,35957123
893,31919664
894,32005254
895,35973641
896,31877646
897,32001606
898,35952327
899,31958164
900,31957237
901,40931820
902,31923812
903,32038180
904,35859052
905,31921183
906,32089179
907,30911263
908,31852036
909,32065180
910,35897662
911,31888850
912,32006458
913,35968013
914,31896942
915,32003810
916,35953291
917,31906110
918,31995348
919,35973254
920,31944961
921,31977553
922,35972865
923,31902573
924,32087180
925,35906699
926,31902795
927,31988367
928,35952662
929,31945794
930,31972553
931,35966680
932,31866481
933,32001886
934,35961421
935,31894054
936,32019422
937,35948587
938,31905165
939,31997441
940,35960550
941,31898296
942,32000941
943,36002327
944,31887518
945,31969905
946,35963698
947,31958054
948,31957035
949,39682777
950,34823856
951,32073699
952,31741078
953,29418021
954,32058126
955,35907220
956,31905499
957,31954424
958,35950681
959,31899259
960,32001701
961,35979180
962,31906796
963,31966516
964,35986625
965,31909073
966,31983220
967,32063089
968,35835350
969,31962572
970,32046348
971,35843072
972,31976017
973,32033423
974,42507117
975,31954129
976,32060385
977,29132104
978,31980387
979,32037812
980,35846480
981,31985388
982,32058367
983,35862536
984,31988610
985,32002350
986,35903332
987,31952481
988,32008035
989,35851351
990,32009868
991,31989720
992,35857388
993,31968221
994,32033423
995,35874425
996,31959185
997,32020386
998,40931193
999,32019128
1000,32012369
