82191:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 36 @ sec=1.303976297, dt=0.008333
82197:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 37 @ sec=1.312316656, dt=0.008340
82198:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 38 @ sec=1.320649862, dt=0.008333
82199:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 39 @ sec=1.328983545, dt=0.008334
82200:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 40 @ sec=1.337318182, dt=0.008335
82201:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 41 @ sec=1.345645428, dt=0.008327
82202:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 42 @ sec=1.353976727, dt=0.008331
82203:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 43 @ sec=1.362311840, dt=0.008335
82204:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 44 @ sec=1.370642662, dt=0.008331
82205:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 45 @ sec=1.378977776, dt=0.008335
82206:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 46 @ sec=1.387315989, dt=0.008338
82207:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 47 @ sec=1.395644188, dt=0.008328
82208:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 48 @ sec=1.403996706, dt=0.008353
82214:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 49 @ sec=1.412313938, dt=0.008317
82215:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 50 @ sec=1.420649290, dt=0.008335
82216:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 51 @ sec=1.428986788, dt=0.008337
82217:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 52 @ sec=1.437322617, dt=0.008336
82218:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 53 @ sec=1.445645809, dt=0.008323
82219:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 54 @ sec=1.453977585, dt=0.008332
82220:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 55 @ sec=1.462310314, dt=0.008333
82221:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 56 @ sec=1.470643997, dt=0.008334
82222:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 57 @ sec=1.478978395, dt=0.008334
82223:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 58 @ sec=1.487311840, dt=0.008333
