i,time (ns)
635,80184
636,79036
637,76406
638,79388
639,79258
640,79610
641,79832
642,79295
643,83388
644,79425
645,83073
646,77202
647,86481
648,76184
649,86462
650,75518
651,76036
652,85851
653,76536
654,89017
655,76129
656,16260112
657,76814
658,77148
659,84814
660,75147
661,83443
662,75203
663,86277
664,74870
665,79092
666,80648
667,74388
668,79833
669,80240
670,79351
671,80148
672,74925
673,84147
674,74480
675,79055
676,80351
677,79980
678,80259
679,74832
680,83166
681,17349876
682,84369
683,79851
684,81795
685,80462
686,76740
687,82110
688,80407
689,88610
690,77240
691,86369
692,76981
693,81980
694,82147
695,77499
696,84592
697,77110
698,84962
699,76277
700,80481
701,82073
702,79962
703,81777
704,76536
705,83628
706,16416425
707,77722
708,84259
709,77110
710,83221
711,77166
712,80722
713,80740
714,77202
715,87370
716,80277
717,82407
718,80703
719,87592
720,77518
721,82092
722,81795
723,82369
724,82222
725,77387
726,86851
727,77369
728,81888
729,82165
730,82592
731,16042300
732,77833
733,86259
734,123535
735,76703
736,84351
737,77222
738,82703
739,77184
740,86814
741,77499
742,82924
743,81685
744,82462
745,82129
746,77036
747,89110
748,77111
749,82629
750,81091
751,82128
752,82536
753,77536
754,89795
755,77629
756,16430351
757,85258
758,81129
759,85573
760,101017
761,85147
762,80240
763,122035
764,75536
765,78128
766,75518
767,71425
768,80314
769,72073
770,76148
771,75629
772,77518
773,75351
774,73333
775,80555
776,72184
777,76462
778,77277
779,77795
780,78462
781,16324648
782,88091
783,75499
784,78018
785,83295
786,75110
787,79758
788,82517
789,78888
790,80166
791,74832
792,84406
793,74610
794,117073
795,104628
796,77443
797,78369
798,73406
799,83776
800,73666
801,83740
802,73018
803,78332
804,78555
805,16078466
806,85202
807,75721
808,87759
809,77777
810,79425
811,78703
812,74759
813,83314
814,78221
815,79869
816,74036
817,84721
818,75073
819,80092
820,80054
821,79721
822,80166
823,75295
824,86184
825,74870
826,80277
827,79388
828,80166
829,79481
830,16213002
831,78777
832,75221
833,78851
834,78481
835,78943
836,78240
837,79129
838,78036
839,75814
840,78537
841,78851
842,77962
843,87295
844,75147
845,84610
846,75480
847,75277
848,85258
849,74462
850,89610
851,75017
852,84480
853,75425
854,75944
855,16088041
856,75407
857,84684
858,75554
859,82740
860,72165
861,76944
862,78591
863,73777
864,81369
865,73480
866,81277
867,76481
868,76443
869,78721
870,79314
871,77999
872,78203
873,78018
874,77721
875,73036
876,79832
877,78444
878,79091
879,78554
880,16123410
881,78795
882,74480
883,83165
884,74648
885,79610
886,78740
887,80258
888,78258
889,74776
890,83758
891,77925
892,79943
893,75703
894,85110
895,75203
896,80092
897,79573
898,78055
899,79314
900,75591
901,82962
902,75221
903,78276
904,80351
905,16331056
906,82647
907,75740
