cycle,sec,last,dt,sdt
000000,1.012115,1.00361,0.008504,0.008333
000001,1.020636,1.012115,0.008521,0.008333
000002,1.029099,1.020636,0.008464,0.008333
000003,1.037548,1.029099,0.008448,0.008333
000004,1.046013,1.037548,0.008465,0.008333
000005,1.054554,1.046013,0.008542,0.008333
000006,1.063036,1.054554,0.008482,0.008333
000007,1.07153,1.063036,0.008494,0.008333
000008,1.080008,1.07153,0.008477,0.008333
000009,1.088466,1.080008,0.008458,0.008333
000010,1.096875,1.088466,0.008409,0.008333
000011,1.105278,1.096875,0.008404,0.008333
000012,1.113679,1.105278,0.008401,0.008333
000013,1.122087,1.113679,0.008408,0.008333
000014,1.130495,1.122087,0.008408,0.008333
000015,1.1389,1.130495,0.008405,0.008333
000016,1.147305,1.1389,0.008404,0.008333
000017,1.155708,1.147305,0.008404,0.008333
000018,1.164108,1.155708,0.008399,0.008333
000019,1.172521,1.164108,0.008413,0.008333
000020,1.180926,1.172521,0.008405,0.008333
000021,1.189352,1.180926,0.008426,0.008333
000022,1.197774,1.189352,0.008423,0.008333
000023,1.206192,1.197774,0.008417,0.008333
000024,1.21461,1.206192,0.008418,0.008333
000025,1.223035,1.21461,0.008425,0.008333
000026,1.231456,1.223035,0.008421,0.008333
000027,1.239873,1.231456,0.008418,0.008333
000028,1.248291,1.239873,0.008418,0.008333
000029,1.256716,1.248291,0.008425,0.008333
000030,1.265137,1.256716,0.00842,0.008333
000031,1.273564,1.265137,0.008427,0.008333
000032,1.281991,1.273564,0.008426,0.008333
000033,1.290423,1.281991,0.008432,0.008333
000034,1.298882,1.290423,0.008459,0.008333
000035,1.307304,1.298882,0.008422,0.008333
000036,1.315737,1.307304,0.008434,0.008333
000037,1.32417,1.315737,0.008433,0.008333
000038,1.332595,1.32417,0.008425,0.008333
000039,1.341016,1.332595,0.008421,0.008333
000040,1.349442,1.341016,0.008426,0.008333
000041,1.357862,1.349442,0.00842,0.008333
000042,1.366284,1.357862,0.008422,0.008333
000043,1.374713,1.366284,0.008429,0.008333
000044,1.383135,1.374713,0.008422,0.008333
000045,1.391569,1.383135,0.008434,0.008333
000046,1.399989,1.391569,0.00842,0.008333
000047,1.40841,1.399989,0.008421,0.008333
000048,1.416829,1.40841,0.008419,0.008333
000049,1.425256,1.416829,0.008427,0.008333
000050,1.433677,1.425256,0.008422,0.008333
000051,1.442094,1.433677,0.008417,0.008333
000052,1.450555,1.442094,0.008461,0.008333
000053,1.458972,1.450555,0.008417,0.008333
000054,1.467389,1.458972,0.008417,0.008333
000055,1.475832,1.467389,0.008443,0.008333
000056,1.484265,1.475832,0.008433,0.008333
000057,1.492701,1.484265,0.008436,0.008333
000058,1.501123,1.492701,0.008422,0.008333
000059,1.509555,1.501123,0.008432,0.008333
000060,1.517979,1.509555,0.008424,0.008333
000061,1.526417,1.517979,0.008437,0.008333
000062,1.534843,1.526417,0.008427,0.008333
000063,1.543264,1.534843,0.00842,0.008333
000064,1.551684,1.543264,0.00842,0.008333
000065,1.560102,1.551684,0.008419,0.008333
000066,1.56852,1.560102,0.008418,0.008333
000067,1.576946,1.56852,0.008426,0.008333
000068,1.585368,1.576946,0.008422,0.008333
000069,1.593808,1.585368,0.00844,0.008333
000070,1.602262,1.593808,0.008454,0.008333
000071,1.610683,1.602262,0.008421,0.008333
000072,1.619105,1.610683,0.008422,0.008333
000073,1.627534,1.619105,0.008429,0.008333
000074,1.635955,1.627534,0.008421,0.008333
000075,1.644373,1.635955,0.008418,0.008333
000076,1.652792,1.644373,0.008419,0.008333
000077,1.661213,1.652792,0.00842,0.008333
000078,1.669631,1.661213,0.008419,0.008333
000079,1.678056,1.669631,0.008425,0.008333
000080,1.686477,1.678056,0.008421,0.008333
000081,1.694899,1.686477,0.008421,0.008333
000082,1.703317,1.694899,0.008418,0.008333
000083,1.711777,1.703317,0.00846,0.008333
000084,1.720206,1.711777,0.008429,0.008333
000085,1.728632,1.720206,0.008426,0.008333
000086,1.737056,1.728632,0.008425,0.008333
000087,1.745473,1.737056,0.008416,0.008333
000088,1.753925,1.745473,0.008452,0.008333
000089,1.762342,1.753925,0.008417,0.008333
000090,1.770758,1.762342,0.008416,0.008333
000091,1.779187,1.770758,0.008428,0.008333
000092,1.787611,1.779187,0.008424,0.008333
000093,1.796033,1.787611,0.008422,0.008333
000094,1.804482,1.796033,0.008449,0.008333
000095,1.812904,1.804482,0.008423,0.008333
000096,1.82133,1.812904,0.008426,0.008333
000097,1.829759,1.82133,0.008429,0.008333
000098,1.838183,1.829759,0.008425,0.008333
000099,1.846604,1.838183,0.00842,0.008333
000100,1.855023,1.846604,0.008419,0.008333
000101,1.863441,1.855023,0.008418,0.008333
000102,1.871862,1.863441,0.008421,0.008333
000103,1.88029,1.871862,0.008428,0.008333
000104,1.888712,1.88029,0.008422,0.008333
000105,1.897143,1.888712,0.00843,0.008333
000106,1.905605,1.897143,0.008462,0.008333
000107,1.914025,1.905605,0.00842,0.008333
000108,1.922455,1.914025,0.00843,0.008333
000109,1.930886,1.922455,0.008431,0.008333
000110,1.939312,1.930886,0.008425,0.008333
000111,1.94773,1.939312,0.008419,0.008333
000112,1.956154,1.94773,0.008424,0.008333
000113,1.964576,1.956154,0.008421,0.008333
000114,1.972995,1.964576,0.008419,0.008333
000115,1.981422,1.972995,0.008427,0.008333
000116,1.989844,1.981422,0.008422,0.008333
000117,1.998266,1.989844,0.008422,0.008333
000118,2.006683,1.998266,0.008417,0.008333
000119,2.015101,2.006683,0.008419,0.008333
000120,2.02353,2.015101,0.008428,0.008333
000121,2.031974,2.02353,0.008444,0.008333
000122,2.040405,2.031974,0.008431,0.008333
000123,2.048822,2.040405,0.008417,0.008333
000124,2.057253,2.048822,0.008431,0.008333
000125,2.065673,2.057253,0.00842,0.008333
000126,2.074091,2.065673,0.008417,0.008333
000127,2.082529,2.074091,0.008438,0.008333
000128,2.090951,2.082529,0.008423,0.008333
000129,2.099373,2.090951,0.008422,0.008333
000130,2.107792,2.099373,0.008419,0.008333
000131,2.116211,2.107792,0.008419,0.008333
000132,2.124631,2.116211,0.00842,0.008333
000133,2.133056,2.124631,0.008425,0.008333
000134,2.141481,2.133056,0.008425,0.008333
000135,2.149902,2.141481,0.00842,0.008333
000136,2.158321,2.149902,0.008419,0.008333
000137,2.166738,2.158321,0.008417,0.008333
000138,2.175156,2.166738,0.008418,0.008333
000139,2.183581,2.175156,0.008424,0.008333
000140,2.192005,2.183581,0.008425,0.008333
000141,2.200428,2.192005,0.008423,0.008333
000142,2.208848,2.200428,0.00842,0.008333
000143,2.217268,2.208848,0.00842,0.008333
000144,2.225685,2.217268,0.008418,0.008333
000145,2.234111,2.225685,0.008425,0.008333
000146,2.242537,2.234111,0.008426,0.008333
000147,2.250958,2.242537,0.00842,0.008333
000148,2.259377,2.250958,0.008419,0.008333
000149,2.267794,2.259377,0.008417,0.008333
000150,2.276212,2.267794,0.008417,0.008333
000151,2.28464,2.276212,0.008428,0.008333
000152,2.293063,2.28464,0.008423,0.008333
000153,2.301484,2.293063,0.008421,0.008333
