cycle,sec,last,dt,sdt
000138,2.181188,2.172764,0.008425,0.008333
000139,2.189627,2.181188,0.008438,0.008333
000140,2.198071,2.189627,0.008444,0.008333
000141,2.206503,2.198071,0.008432,0.008333
000142,2.214931,2.206503,0.008428,0.008333
000143,2.223361,2.214931,0.00843,0.008333
000144,2.231789,2.223361,0.008429,0.008333
000145,2.240223,2.231789,0.008434,0.008333
000146,2.248658,2.240223,0.008435,0.008333
000147,2.257133,2.248658,0.008475,0.008333
000148,2.265561,2.257133,0.008428,0.008333
000149,2.273988,2.265561,0.008427,0.008333
000150,2.282415,2.273988,0.008427,0.008333
000151,2.290859,2.282415,0.008445,0.008333
000152,2.299289,2.290859,0.00843,0.008333
000153,2.307718,2.299289,0.008429,0.008333
000154,2.316145,2.307718,0.008427,0.008333
000155,2.324577,2.316145,0.008432,0.008333
000156,2.333007,2.324577,0.008429,0.008333
000157,2.341442,2.333007,0.008435,0.008333
000158,2.349872,2.341442,0.00843,0.008333
000159,2.358299,2.349872,0.008427,0.008333
000160,2.366726,2.358299,0.008426,0.008333
000161,2.375154,2.366726,0.008429,0.008333
000162,2.383581,2.375154,0.008426,0.008333
000163,2.392016,2.383581,0.008435,0.008333
000164,2.400444,2.392016,0.008429,0.008333
000165,2.40887,2.400444,0.008425,0.008333
000166,2.417304,2.40887,0.008434,0.008333
000167,2.425734,2.417304,0.00843,0.008333
000168,2.43416,2.425734,0.008425,0.008333
000169,2.442595,2.43416,0.008436,0.008333
000170,2.451025,2.442595,0.008429,0.008333
000171,2.459448,2.451025,0.008423,0.008333
000172,2.467873,2.459448,0.008425,0.008333
000173,2.476298,2.467873,0.008425,0.008333
000174,2.484749,2.476298,0.008451,0.008333
000175,2.493195,2.484749,0.008446,0.008333
000176,2.501633,2.493195,0.008438,0.008333
000177,2.510063,2.501633,0.00843,0.008333
000178,2.518502,2.510063,0.00844,0.008333
000179,2.526935,2.518502,0.008432,0.008333
000180,2.535366,2.526935,0.008431,0.008333
000181,2.543812,2.535366,0.008446,0.008333
000182,2.552246,2.543812,0.008435,0.008333
000183,2.560673,2.552246,0.008426,0.008333
000184,2.569129,2.560673,0.008456,0.008333
000185,2.577554,2.569129,0.008425,0.008333
000186,2.585983,2.577554,0.008429,0.008333
000187,2.594425,2.585983,0.008442,0.008333
000188,2.602857,2.594425,0.008432,0.008333
000189,2.611285,2.602857,0.008428,0.008333
000190,2.619712,2.611285,0.008427,0.008333
000191,2.62814,2.619712,0.008428,0.008333
000192,2.636566,2.62814,0.008425,0.008333
000193,2.645013,2.636566,0.008448,0.008333
000194,2.653445,2.645013,0.008432,0.008333
000195,2.661874,2.653445,0.008428,0.008333
000196,2.670301,2.661874,0.008427,0.008333
000197,2.678728,2.670301,0.008427,0.008333
000198,2.68719,2.678728,0.008462,0.008333
000199,2.695625,2.68719,0.008435,0.008333
000200,2.704056,2.695625,0.00843,0.008333
000201,2.71248,2.704056,0.008424,0.008333
000202,2.720905,2.71248,0.008425,0.008333
000203,2.729333,2.720905,0.008428,0.008333
000204,2.737758,2.729333,0.008425,0.008333
000205,2.746192,2.737758,0.008435,0.008333
000206,2.754627,2.746192,0.008435,0.008333
000207,2.763055,2.754627,0.008428,0.008333
000208,2.771482,2.763055,0.008428,0.008333
000209,2.779906,2.771482,0.008423,0.008333
000210,2.788333,2.779906,0.008427,0.008333
000211,2.796772,2.788333,0.008439,0.008333
000212,2.805202,2.796772,0.00843,0.008333
000213,2.813629,2.805202,0.008427,0.008333
000214,2.822059,2.813629,0.00843,0.008333
000215,2.830486,2.822059,0.008426,0.008333
000216,2.838915,2.830486,0.00843,0.008333
000217,2.847351,2.838915,0.008436,0.008333
000218,2.855782,2.847351,0.008431,0.008333
000219,2.864218,2.855782,0.008437,0.008333
000220,2.872646,2.864218,0.008428,0.008333
000221,2.881073,2.872646,0.008427,0.008333
000222,2.889499,2.881073,0.008426,0.008333
000223,2.897938,2.889499,0.008439,0.008333
000224,2.906369,2.897938,0.008431,0.008333
000225,2.914793,2.906369,0.008424,0.008333
000226,2.923229,2.914793,0.008435,0.008333
000227,2.931659,2.923229,0.00843,0.008333
000228,2.940085,2.931659,0.008426,0.008333
000229,2.948517,2.940085,0.008432,0.008333
000230,2.956947,2.948517,0.00843,0.008333
000231,2.965395,2.956947,0.008448,0.008333
000232,2.97382,2.965395,0.008425,0.008333
000233,2.98225,2.97382,0.00843,0.008333
000234,2.990691,2.98225,0.008441,0.008333
000235,2.999131,2.990691,0.00844,0.008333
000236,3.007565,2.999131,0.008434,0.008333
000237,3.015993,3.007565,0.008428,0.008333
000238,3.024426,3.015993,0.008433,0.008333
000239,3.032868,3.024426,0.008442,0.008333
000240,3.041303,3.032868,0.008435,0.008333
000241,3.049758,3.041303,0.008455,0.008333
000242,3.058194,3.049758,0.008436,0.008333
000243,3.066625,3.058194,0.008431,0.008333
000244,3.075053,3.066625,0.008428,0.008333
000245,3.083482,3.075053,0.008429,0.008333
000246,3.091906,3.083482,0.008425,0.008333
000247,3.100339,3.091906,0.008433,0.008333
000248,3.108769,3.100339,0.00843,0.008333
000249,3.117237,3.108769,0.008468,0.008333
000250,3.125667,3.117237,0.00843,0.008333
000251,3.134093,3.125667,0.008425,0.008333
000252,3.142521,3.134093,0.008429,0.008333
000253,3.150964,3.142521,0.008443,0.008333
000254,3.159395,3.150964,0.008431,0.008333
000255,3.167824,3.159395,0.008428,0.008333
000256,3.17625,3.167824,0.008426,0.008333
000257,3.184675,3.17625,0.008425,0.008333
000258,3.193099,3.184675,0.008424,0.008333
000259,3.201531,3.193099,0.008432,0.008333
000260,3.209961,3.201531,0.00843,0.008333
000261,3.218387,3.209961,0.008426,0.008333
000262,3.226812,3.218387,0.008425,0.008333
000263,3.235236,3.226812,0.008424,0.008333
000264,3.243666,3.235236,0.00843,0.008333
000265,3.252127,3.243666,0.008461,0.008333
000266,3.260604,3.252127,0.008477,0.008333
000267,3.269072,3.260604,0.008468,0.008333
000268,3.277546,3.269072,0.008474,0.008333
000269,3.286009,3.277546,0.008464,0.008333
000270,3.294451,3.286009,0.008442,0.008333
000271,3.302895,3.294451,0.008443,0.008333
000272,3.311331,3.302895,0.008436,0.008333
000273,3.319767,3.311331,0.008437,0.008333
000274,3.328198,3.319767,0.00843,0.008333
000275,3.336631,3.328198,0.008433,0.008333
000276,3.345055,3.336631,0.008425,0.008333
000277,3.353482,3.345055,0.008427,0.008333
000278,3.361903,3.353482,0.008421,0.008333
000279,3.370319,3.361903,0.008416,0.008333
000280,3.378738,3.370319,0.008419,0.008333
000281,3.387187,3.378738,0.008449,0.008333
000282,3.395605,3.387187,0.008417,0.008333
000283,3.404027,3.395605,0.008422,0.008333
000284,3.412447,3.404027,0.00842,0.008333
000285,3.420865,3.412447,0.008418,0.008333
000286,3.429282,3.420865,0.008416,0.008333
000287,3.437702,3.429282,0.00842,0.008333
000288,3.446131,3.437702,0.008429,0.008333
000289,3.454567,3.446131,0.008436,0.008333
000290,3.463002,3.454567,0.008435,0.008333
000291,3.471432,3.463002,0.008429,0.008333
000292,3.479859,3.471432,0.008427,0.008333
000293,3.488286,3.479859,0.008427,0.008333
000294,3.496713,3.488286,0.008426,0.008333
000295,3.505152,3.496713,0.008439,0.008333
000296,3.513582,3.505152,0.00843,0.008333
000297,3.522019,3.513582,0.008437,0.008333
000298,3.530448,3.522019,0.008429,0.008333
000299,3.538878,3.530448,0.00843,0.008333
000300,3.547304,3.538878,0.008426,0.008333
000301,3.55575,3.547304,0.008447,0.008333
000302,3.564188,3.55575,0.008438,0.008333
