i,time (ns)
1,6101425
2,4538671
3,4682724
4,4572763
5,4564115
6,4531616
7,4579374
8,4529838
9,4519931
10,4624818
11,4531689
12,4520856
13,4574485
14,4529116
15,4523690
16,4568096
17,4536930
18,4525227
19,4620874
20,4526504
21,4697761
22,4572763
23,4524967
24,4526615
25,4574318
26,4534671
27,4529986
28,4672113
29,4531930
30,4526486
31,4581782
32,4534264
33,4521134
34,4571485
35,4528005
36,4521171
37,4579707
38,4535986
39,4522726
40,4569448
41,4537745
42,4538782
43,4581392
44,4532430
45,4526412
46,4617115
47,4532356
48,4527134
49,4559319
50,4539745
51,4523931
52,4566504
53,4534523
54,4533541
55,4780649
56,4534967
57,4530319
58,4643262
59,4526745
60,4534098
61,4572763
62,4531004
63,4521930
64,4572856
65,4528912
66,4525931
67,4590893
68,4574985
69,3958106
70,3966790
71,4008308
72,4528486
73,4571744
74,4559208
75,4521468
76,4589003
77,4570448
78,4527134
79,4608874
80,4567948
81,4534949
82,4568281
83,4569837
84,4595022
85,4860018
86,4736094
87,3563372
88,3542019
89,3570760
90,4534171
91,4575263
92,4561282
93,4530708
94,4637336
95,4559838
96,4525468
97,4575356
98,4572448
99,4525856
100,4635392
101,4572078
102,4532801
103,4728002
104,4562393
105,4532320
106,4577818
107,4637189
108,4530968
109,4617837
110,4636022
111,4532986
112,4584763
113,4629670
114,4534449
115,4571985
116,4631244
117,4532690
118,4577430
119,4602966
120,4524782
121,4606263
122,4560560
123,4521523
124,4572004
125,4578208
126,4520931
127,4563708
128,4568726
129,4522005
130,4578060
131,4552022
132,4521042
133,4580337
134,4571023
135,4524986
136,4566967
137,4576893
138,4524172
139,4579633
140,4556504
141,4524727
142,4576912
143,4610559
144,4529745
145,4557875
146,4558023
147,4520690
148,4575578
149,4560542
150,4568282
151,4579690
152,4566264
153,4525930
154,4564745
155,4562634
156,4526913
157,4577633
158,4567523
159,4520172
160,4573689
161,4563171
162,4528931
163,4588263
164,4554357
165,4530690
166,4584171
167,4561541
168,4522339
169,4586319
170,4564541
171,4522116
172,4568078
173,4570319
174,4521690
175,4568856
176,4563356
177,4602670
178,4589023
179,4567245
180,3972643
181,4044920
182,4002976
183,4518264
184,4570486
185,4585929
186,4515967
187,4572004
188,4561282
189,4526783
