cycle,sec,last,dt,sdt
000000,1.004838,0.996321,0.008518,0.000185
000001,1.013069,1.004838,0.008231,-0.000102
000002,1.021518,1.013069,0.008448,0.000115
000003,1.029745,1.021518,0.008227,-0.000106
000004,1.038181,1.029745,0.008436,0.000102
000005,1.046418,1.038181,0.008237,-0.000096
000006,1.054852,1.046418,0.008434,0.000101
000007,1.063099,1.054852,0.008247,-0.000086
000008,1.071528,1.063099,0.008429,0.000095
000009,1.079771,1.071528,0.008243,-0.00009
000010,1.088196,1.079771,0.008425,0.000092
000011,1.096443,1.088196,0.008247,-0.000086
000012,1.10484,1.096443,0.008397,0.000064
000013,1.11309,1.10484,0.00825,-0.000084
000014,1.121485,1.11309,0.008396,0.000062
000015,1.129726,1.121485,0.00824,-0.000093
000016,1.138124,1.129726,0.008398,0.000065
000017,1.14636,1.138124,0.008236,-0.000097
000018,1.154758,1.14636,0.008398,0.000064
000019,1.163002,1.154758,0.008244,-0.000089
000020,1.171398,1.163002,0.008396,0.000062
000021,1.179636,1.171398,0.008238,-0.000095
000022,1.188034,1.179636,0.008398,0.000065
000023,1.196273,1.188034,0.008239,-0.000094
000024,1.204677,1.196273,0.008404,0.00007
000025,1.212942,1.204677,0.008265,-0.000068
000026,1.221337,1.212942,0.008395,0.000061
000027,1.22959,1.221337,0.008254,-0.00008
000028,1.238005,1.22959,0.008415,0.000082
000029,1.246248,1.238005,0.008243,-0.000091
000030,1.254654,1.246248,0.008406,0.000073
000031,1.262906,1.254654,0.008251,-0.000082
000032,1.271312,1.262906,0.008406,0.000073
000033,1.279556,1.271312,0.008244,-0.00009
000034,1.287961,1.279556,0.008405,0.000072
000035,1.296207,1.287961,0.008246,-0.000087
000036,1.304606,1.296207,0.008399,0.000066
000037,1.312865,1.304606,0.008259,-0.000075
000038,1.321258,1.312865,0.008393,0.000059
000039,1.329516,1.321258,0.008258,-0.000075
000040,1.337906,1.329516,0.00839,0.000056
000041,1.346166,1.337906,0.00826,-0.000073
000042,1.354556,1.346166,0.008391,0.000057
000043,1.362824,1.354556,0.008267,-0.000066
000044,1.371212,1.362824,0.008388,0.000055
000045,1.379474,1.371212,0.008262,-0.000071
000046,1.387858,1.379474,0.008384,0.00005
000047,1.396119,1.387858,0.008261,-0.000073
000048,1.404504,1.396119,0.008385,0.000052
000049,1.412765,1.404504,0.008261,-0.000073
000050,1.421147,1.412765,0.008382,0.000049
000051,1.429404,1.421147,0.008257,-0.000076
000052,1.437783,1.429404,0.00838,0.000047
000053,1.446041,1.437783,0.008258,-0.000076
000054,1.45442,1.446041,0.008379,0.000046
000055,1.462686,1.45442,0.008265,-0.000068
000056,1.47106,1.462686,0.008374,0.000041
000057,1.47933,1.47106,0.00827,-0.000064
000058,1.487708,1.47933,0.008378,0.000044
000059,1.495967,1.487708,0.008259,-0.000074
000060,1.504344,1.495967,0.008377,0.000044
000061,1.512632,1.504344,0.008288,-0.000045
000062,1.520997,1.512632,0.008365,0.000032
000063,1.529278,1.520997,0.008281,-0.000053
000064,1.537641,1.529278,0.008364,0.00003
000065,1.545922,1.537641,0.008281,-0.000053
000066,1.554286,1.545922,0.008364,0.000031
000067,1.562577,1.554286,0.008291,-0.000042
000068,1.570938,1.562577,0.008361,0.000027
000069,1.579223,1.570938,0.008285,-0.000049
000070,1.587582,1.579223,0.008359,0.000025
000071,1.595905,1.587582,0.008323,-0.00001
000072,1.604229,1.595905,0.008325,-0.000009
000073,1.612559,1.604229,0.00833,-0.000004
000074,1.620879,1.612559,0.00832,-0.000013
000075,1.629205,1.620879,0.008326,-0.000008
000076,1.637547,1.629205,0.008343,0.000009
000077,1.64587,1.637547,0.008322,-0.000011
000078,1.65421,1.64587,0.00834,0.000007
000079,1.662539,1.65421,0.008329,-0.000004
000080,1.670872,1.662539,0.008333,0
000081,1.679221,1.670872,0.008348,0.000015
000082,1.687535,1.679221,0.008314,-0.000019
000083,1.695891,1.687535,0.008356,0.000022
000084,1.704197,1.695891,0.008306,-0.000027
000085,1.712559,1.704197,0.008363,0.000029
000086,1.720861,1.712559,0.008302,-0.000031
000087,1.729228,1.720861,0.008367,0.000033
000088,1.737523,1.729228,0.008295,-0.000039
000089,1.745887,1.737523,0.008364,0.000031
000090,1.754184,1.745887,0.008297,-0.000036
000091,1.762553,1.754184,0.00837,0.000037
000092,1.770853,1.762553,0.0083,-0.000034
