i,time (ns)
309,69888
310,62629
311,68092
312,67129
313,67666
314,62518
315,40822806
316,67870
317,67148
318,68259
319,63962
320,71110
321,64203
322,67888
323,64295
324,67388
325,75203
326,64351
327,69518
328,66128
329,67592
330,62574
331,67962
332,62851
333,72332
334,62369
335,67925
336,96388
337,66425
338,65685
339,66592
340,40674177
341,75814
342,64111
343,66722
344,64499
345,67055
346,72462
347,63870
348,67202
349,69369
350,68203
351,63796
352,67444
353,63814
354,69407
355,69314
356,63925
357,72666
358,63796
359,72629
360,63944
361,68499
362,68999
363,71370
364,63833
365,68592
366,41381039
367,75518
368,64573
369,64573
370,69629
371,64610
372,67684
373,64721
374,67240
375,69702
376,67888
377,64370
378,69684
379,64406
380,69258
381,64684
382,64833
383,69851
384,64314
385,62592
386,63407
387,62889
388,68110
389,62499
390,62962
391,67925
392,77740
393,64943
394,64499
395,67555
396,72888
397,64740
398,64295
399,68073
400,70277
401,67870
402,64518
403,64777
404,71054
405,64537
406,67555
407,65184
408,69055
409,69500
410,68814
411,64333
412,77295
413,64129
414,68721
415,64054
416,69388
417,42167492
418,69203
419,68666
420,69962
421,68481
422,69610
423,68369
424,65110
425,73869
426,64703
427,68480
428,69369
429,65092
430,79091
431,65537
432,70480
433,70851
434,70295
435,65629
436,70091
437,65499
438,75110
439,63944
440,68832
441,68258
442,68295
443,73055
444,68314
445,64647
446,73240
447,67647
448,64536
449,68240
450,64407
451,72703
452,64795
453,68388
454,69758
455,67666
456,64796
457,64703
458,69462
459,69925
460,69518
461,64795
462,74314
463,64721
464,73480
465,64480
466,68962
467,69499
468,41530870
469,65592
470,65296
471,64685
472,68091
473,64500
474,64962
475,66814
476,63536
477,63481
478,63518
479,66388
480,66722
481,63481
482,63240
483,69092
484,63462
485,67906
486,63333
487,63462
488,68739
489,63055
490,63426
491,63944
492,63740
493,68444
494,78629
495,66073
496,75148
497,65406
498,65184
499,65147
500,65092
501,70221
502,65592
503,65147
504,70722
505,68370
506,73110
507,68980
508,65499
509,76036
510,64869
511,70259
512,65647
513,70462
514,70240
515,70443
516,65221
517,74629
518,64999
519,40326311
520,65666
521,69000
522,73166
523,64999
524,68351
525,69962
526,110314
527,68110
528,65925
529,62536
530,71110
531,66111
532,62110
533,68555
534,62388
535,104554
536,63018
537,68184
538,67721
539,67666
540,62240
541,67518
542,62110
543,75832
544,62407
545,69907
546,75166
547,64814
548,72202
549,64666
550,67462
551,69611
552,67666
553,64628
554,104036
555,64184
556,71481
557,63592
558,67036
559,68518
560,62999
561,63388
562,63462
563,63221
564,68555
565,63333
566,63166
567,68629
568,63610
569,67870
570,41172246
571,65073
572,69277
573,64721
574,65184
575,68017
576,65554
577,71611
578,64925
579,67647
580,68166
581,68166
582,64832
583,65351
584,67518
585,76036
586,65574
587,64981
588,70388
589,65110
590,69684
591,64943
592,65166
593,70147
594,65277
595,64944
596,78055
597,65184
598,70425
599,65221
600,65147
601,73184
602,95628
603,65147
604,65647
605,64629
606,70425
607,67647
608,65277
609,73277
610,64925
611,75222
612,65592
613,69851
614,70388
615,105240
616,64870
617,72796
618,64610
619,74740
620,65036
621,39879613
622,72592
623,68592
624,64906
625,68240
626,65110
627,73517
628,65221
629,67703
630,70148
631,67869
632,69147
633,68203
634,64610
635,73388
636,68591
637,64684
638,69147
639,70314
640,69906
641,70055
642,65073
643,74703
644,64925
645,69906
646,64814
647,41383558
648,69166
649,68777
650,65110
651,71370
652,64981
653,71721
654,65314
655,68240
656,68685
657,71499
658,65055
659,68555
660,65185
661,74759
662,70925
663,65017
664,75073
665,64796
666,70111
667,64647
668,70406
669,70074
670,70129
671,64851
672,39931353
673,65592
674,75110
675,64647
676,68240
677,69906
678,68721
679,69277
680,68777
681,64943
682,73573
683,63814
684,67017
685,68963
686,63814
687,66425
688,63370
689,63518
690,73591
691,63870
692,67333
693,68314
694,70703
695,102610
696,67647
697,63092
698,42375878
699,64203
700,66332
701,64184
702,66425
703,68648
704,66962
705,64017
706,71388
707,63833
708,66074
709,64333
710,66740
711,68795
712,66721
713,66296
714,69351
715,63129
716,67944
717,63092
718,63259
719,68259
720,63333
721,63295
722,63184
723,41792534
724,83869
725,66999
726,68999
727,67499
728,63777
729,63184
730,62388
731,68147
732,90073
733,61758
734,61277
735,64554
736,61870
737,67592
738,61888
739,61685
740,81573
741,78740
742,69296
743,63185
744,70777
745,66962
746,79313
747,67018
748,71888
749,45360619
750,71981
751,65888
752,69462
753,71110
754,70111
755,65536
756,75148
757,65703
758,118276
759,62555
760,66665
761,68203
762,70888
763,63702
764,65166
765,66425
766,69500
767,69925
768,63258
769,73814
770,63166
771,68851
772,63129
773,71776
774,51479246
775,70222
776,64795
777,70573
778,64795
779,71721
780,64296
781,68721
782,73517
783,104461
784,62221
785,66554
786,63091
787,72481
788,63055
789,65721
790,109499
791,62814
792,65870
793,64962
794,63110
795,73536
796,62462
797,68536
798,67703
799,68111
800,89017
801,68740
802,63869
803,72018
804,64870
805,67962
806,67092
807,69054
808,67665
809,70240
810,65092
811,70981
812,65148
813,68480
814,65222
815,65073
816,80259
817,65036
818,69721
819,69592
820,69332
821,69018
822,69407
823,64406
824,73999
825,100610
826,70536
827,67295
828,71333
829,71073
830,69851
831,65962
832,115277
833,67351
834,70926
835,69703
836,68185
837,70073
838,67277
839,64758
840,71850
841,63999
842,71314
843,63981
844,107036
845,69610
846,62073
847,65055
848,69221
849,61536
850,120680198
851,72128
852,71536
853,72555
854,68740
855,65999
856,65962
857,69333
858,70129
859,65407
860,65758
861,70333
862,64074
863,68314
864,64722
865,64110
866,69943
867,64147
868,64443
869,64555
870,64129
871,68999
872,64703
873,64592
874,69111
875,64203
876,71666
877,66888
878,65796
879,70740
880,65833
881,65184
882,70388
883,64814
884,73185
885,67981
886,65500
887,74388
888,69018
889,64759
890,68999
891,68555
892,70536
893,71221
894,64703
895,75628
896,65500
897,70129
898,65592
899,70814
900,69018
901,40440236
902,66203
903,73203
904,68610
905,69259
906,68407
907,68184
908,75796
909,65981
910,70517
911,65758
912,70240
913,69128
914,70574
915,65443
916,75295
917,65481
918,70721
919,65092
920,70906
921,70480
922,72592
923,64962
924,75388
925,65629
926,75518
927,79017
928,69814
929,72666
930,68814
931,65629
932,69203
933,66222
934,77147
935,65592
936,65962
937,74944
938,68592
939,65073
940,69666
941,65518
942,74036
943,70444
944,65333
945,75111
946,65666
947,74147
948,65555
949,70036
950,70351
951,69777
952,42044105
953,70666
954,65221
955,71517
956,68721
957,65722
958,78351
959,65555
960,71074
961,65740
962,70888
963,70648
964,71610
965,65740
966,75518
967,66018
968,74777
969,66500
970,72777
971,70036
972,71610
973,65369
974,75184
975,65184
976,76203
977,65611
978,72036
979,69036
980,69888
981,65832
982,69610
983,65666
984,72055
985,65407
986,66277
987,72426
988,68777
989,68665
990,69314
991,65814
992,78202
993,65944
994,95277
995,66629
996,70536
997,71091
998,68388
999,63629
1000,72703
