i,time (ns)
1,82240
2,81814
3,69222
4,75573
5,92239
6,82036
7,68073
8,81573
9,67462
10,70110
11,63221
12,69296
13,67832
14,68037
15,62999
16,68129
17,63425
18,72870
19,63592
20,67684
21,68129
22,71295
23,67851
24,68573
25,62999
26,73111
27,63147
28,68110
29,63203
30,68351
31,68129
32,67944
33,43141573
34,78203
35,65980
36,68943
37,65370
38,68277
39,70425
40,68277
41,65184
42,73091
43,68351
44,69739
45,68629
46,65055
47,70740
48,72629
49,65259
50,107017
51,66073
52,68702
53,69907
54,63240
55,72906
56,63258
57,68166
58,63074
59,40925230
60,72536
61,68222
62,65055
63,73369
64,68018
65,69814
66,68369
67,64851
68,74980
69,64833
70,70111
71,65407
72,69759
73,70091
74,70091
75,64925
76,75036
77,65202
78,73295
79,65537
80,70333
81,68333
82,69629
83,104388
84,73481
85,78758
86,73443
87,65110
88,68851
89,68054
90,68795
91,65073
92,67333
93,66943
94,70925
95,67055
96,63814
97,72000
98,63740
99,64518
100,66888
101,64129
102,76055
103,69333
104,63648
105,73259
106,63963
107,73184
108,63962
109,68759
110,40623234
111,69610
112,65388
113,68536
114,65092
115,77092
116,68203
117,64722
118,73203
119,64999
120,70536
121,64759
122,69758
123,69722
124,69648
125,65073
126,74869
127,65425
128,74499
129,65166
130,68685
131,69184
132,69036
133,64314
134,69925
135,64481
136,41986716
137,66129
138,68332
139,70203
140,68074
141,68092
142,65185
143,68129
144,70184
145,68518
146,68777
147,73740
148,68684
149,70147
150,68111
151,65795
152,70703
153,65444
154,65443
155,65629
156,65425
157,70406
158,65536
159,65129
160,68777
161,63351
162,67370
163,69018
164,64999
165,71962
166,65055
167,65555
168,71221
169,63740
170,73943
171,63277
172,69073
173,66906
174,69073
175,63185
176,69536
177,63351
178,73685
179,92572
180,68870
181,69536
182,68500
183,62981
184,68907
185,63110
186,72981
187,42191344
188,70536
189,71758
190,68203
191,73036
192,65073
193,68036
194,69685
195,65277
196,67666
197,65463
198,65110
199,73425
200,64870
201,73833
202,70091
203,70000
204,64333
205,72462
206,63925
207,73925
208,64240
209,69463
210,72592
211,70074
212,68962
213,40109795
214,111017
215,72277
216,68665
217,65166
218,68925
219,68147
220,70202
221,70462
222,65110
223,75277
224,64925
225,70296
226,65240
227,69592
228,70166
229,69980
230,65462
231,75277
232,65259
233,74444
234,65721
235,69574
236,69851
237,70221
238,41860570
239,69759
240,68185
241,95665
242,68092
243,65333
244,71888
245,68425
246,64777
247,68907
248,67888
249,71554
250,65129
251,68296
252,70388
253,63481
254,67184
255,63703
256,62388
257,68444
258,62833
259,63222
260,62925
261,63111
262,67536
263,62888
264,41325002
265,73554
266,99999
267,64648
268,68147
269,64907
270,70574
271,67574
272,64721
273,73832
274,65036
275,74240
276,64869
277,69314
278,69888
279,69703
280,62814
281,68295
282,62814
283,72444
284,62814
285,67851
286,68221
287,67184
288,63147
289,40693455
290,65333
291,75814
292,64795
293,65462
294,70110
295,64740
296,72314
297,64758
298,68666
299,68999
300,67332
301,63221
302,63499
303,65517
304,71758
305,68351
306,62796
307,72907
308,62462
